code,status,detail
D_1NBOO472,error,"La serie D_1NBOO472 no existe"
D_1NBOP472,error,"La serie D_1NBOP472 no existe"
D_1NBOQ472,error,"La serie D_1NBOQ472 no existe"
D_1NBOR472,error,"La serie D_1NBOR472 no existe"
D_1NBOS472,error,"La serie D_1NBOS472 no existe"
D_1NBOT472,error,"La serie D_1NBOT472 no existe"
D_1NBOU472,error,"La serie D_1NBOU472 no existe"
D_1NBOV472,error,"La serie D_1NBOV472 no existe"
D_1NBOW472,error,"La serie D_1NBOW472 no existe"
D_1NBOX472,error,"La serie D_1NBOX472 no existe"
D_1NBOY472,error,"La serie D_1NBOY472 no existe"
D_1NBOZ472,error,"La serie D_1NBOZ472 no existe"
D_1NBPA472,error,"La serie D_1NBPA472 no existe"
D_1NBPB472,error,"La serie D_1NBPB472 no existe"
D_1NBPC472,error,"La serie D_1NBPC472 no existe"
D_1NBPD472,error,"La serie D_1NBPD472 no existe"
D_1NBPE472,error,"La serie D_1NBPE472 no existe"
D_1NBPF472,error,"La serie D_1NBPF472 no existe"
D_1NBPG472,error,"La serie D_1NBPG472 no existe"
D_1NBPH472,error,"La serie D_1NBPH472 no existe"
D_1NBPI472,error,"La serie D_1NBPI472 no existe"
D_1NBPJ472,error,"La serie D_1NBPJ472 no existe"
D_1NBPK472,error,"La serie D_1NBPK472 no existe"
D_1NBPL472,error,"La serie D_1NBPL472 no existe"
D_1NBPM472,error,"La serie D_1NBPM472 no existe"
D_1NBPN472,error,"La serie D_1NBPN472 no existe"
D_1NBPO472,error,"La serie D_1NBPO472 no existe"
D_1NBPP472,error,"La serie D_1NBPP472 no existe"
D_1NBPQ472,error,"La serie D_1NBPQ472 no existe"
D_1NBPR472,error,"La serie D_1NBPR472 no existe"
D_1NBPS472,error,"La serie D_1NBPS472 no existe"
D_1NBPT472,error,"La serie D_1NBPT472 no existe"
D_1NBPU472,error,"La serie D_1NBPU472 no existe"
D_1NBPV472,error,"La serie D_1NBPV472 no existe"
D_1NBPW472,error,"La serie D_1NBPW472 no existe"
D_1NBPX472,error,"La serie D_1NBPX472 no existe"
D_1NBPY472,error,"La serie D_1NBPY472 no existe"
D_1NBPZ472,error,"La serie D_1NBPZ472 no existe"
D_1NBQA472,error,"La serie D_1NBQA472 no existe"
D_1NBQB472,error,"La serie D_1NBQB472 no existe"
D_1NBQC472,error,"La serie D_1NBQC472 no existe"
D_1NBQD472,error,"La serie D_1NBQD472 no existe"
D_1NBQE472,error,"La serie D_1NBQE472 no existe"
D_1NBQF472,error,"La serie D_1NBQF472 no existe"
D_1NBQG472,error,"La serie D_1NBQG472 no existe"
D_1NBQH472,error,"La serie D_1NBQH472 no existe"
D_1NBQI472,error,"La serie D_1NBQI472 no existe"
D_1NBQJ472,error,"La serie D_1NBQJ472 no existe"
D_1NBQK472,error,"La serie D_1NBQK472 no existe"
D_1NBQL472,error,"La serie D_1NBQL472 no existe"
D_1NBQM472,error,"La serie D_1NBQM472 no existe"
D_1NBQN472,error,"La serie D_1NBQN472 no existe"
D_1NBQO472,error,"La serie D_1NBQO472 no existe"
D_1NBQP472,error,"La serie D_1NBQP472 no existe"
D_1NBQQ472,error,"La serie D_1NBQQ472 no existe"
D_1NBQR472,error,"La serie D_1NBQR472 no existe"
D_1NBQS472,error,"La serie D_1NBQS472 no existe"
D_1NBQT472,error,"La serie D_1NBQT472 no existe"
D_1NBQU472,error,"La serie D_1NBQU472 no existe"
D_1NBQV472,error,"La serie D_1NBQV472 no existe"
D_1NBQW472,error,"La serie D_1NBQW472 no existe"
D_1NBQX472,error,"La serie D_1NBQX472 no existe"
D_1NBQY472,error,"La serie D_1NBQY472 no existe"
D_1NBQZ472,error,"La serie D_1NBQZ472 no existe"
D_1NBRA472,error,"La serie D_1NBRA472 no existe"
D_1NBRB472,error,"La serie D_1NBRB472 no existe"
D_1NBRC472,error,"La serie D_1NBRC472 no existe"
D_1NBRD472,error,"La serie D_1NBRD472 no existe"
D_1NBRE472,error,"La serie D_1NBRE472 no existe"
D_1NBRF472,error,"La serie D_1NBRF472 no existe"
D_1NBRG472,error,"La serie D_1NBRG472 no existe"
D_1NBRH472,error,"La serie D_1NBRH472 no existe"
D_1NBRI472,error,"La serie D_1NBRI472 no existe"
D_1NBRJ472,error,"La serie D_1NBRJ472 no existe"
D_1NBRK472,error,"La serie D_1NBRK472 no existe"
D_1NBRL472,error,"La serie D_1NBRL472 no existe"
D_1NBRM472,error,"La serie D_1NBRM472 no existe"
D_1NBRN472,error,"La serie D_1NBRN472 no existe"
D_1NBRO472,error,"La serie D_1NBRO472 no existe"
D_1NBRP472,error,"La serie D_1NBRP472 no existe"
D_1NBRQ472,error,"La serie D_1NBRQ472 no existe"
D_1NBRR472,error,"La serie D_1NBRR472 no existe"
D_1NBRS472,error,"La serie D_1NBRS472 no existe"
D_1NBRT472,error,"La serie D_1NBRT472 no existe"
D_1NBRU472,error,"La serie D_1NBRU472 no existe"
D_1NBRV472,error,"La serie D_1NBRV472 no existe"
D_1NBRW472,error,"La serie D_1NBRW472 no existe"
D_1NBRX472,error,"La serie D_1NBRX472 no existe"
D_1NBRY472,error,"La serie D_1NBRY472 no existe"
D_1NBRZ472,error,"La serie D_1NBRZ472 no existe"
D_1NBSA472,error,"La serie D_1NBSA472 no existe"
D_1NBSB472,error,"La serie D_1NBSB472 no existe"
D_1NBSC472,error,"La serie D_1NBSC472 no existe"
D_1NBSD472,error,"La serie D_1NBSD472 no existe"
D_1NBSE472,error,"La serie D_1NBSE472 no existe"
D_1NBSF472,error,"La serie D_1NBSF472 no existe"
D_1NBSG472,error,"La serie D_1NBSG472 no existe"
D_1NBSH472,error,"La serie D_1NBSH472 no existe"
D_1NBSI472,error,"La serie D_1NBSI472 no existe"
D_1NBSJ472,error,"La serie D_1NBSJ472 no existe"
D_1NBSK472,error,"La serie D_1NBSK472 no existe"
